,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
26,2017-11-22,1172.4455405775307,1033.0787934622583,1237.398166923649,1172.4455405775307,1172.4455405775307,-33.637375866784616,-33.637375866784616,-33.637375866784616,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608063554,6.089135608063554,6.089135608063554,-76.97040158302484,-76.97040158302484,-76.97040158302484,0.0,0.0,0.0,1138.808164710746
27,2017-11-24,1181.3791876157645,1035.280682568743,1247.7415107165505,1181.3791876157645,1181.3791876157645,-42.13678030975266,-42.13678030975266,-42.13678030975266,37.24389010817667,37.24389010817667,37.24389010817667,-2.071396110397218,-2.071396110397218,-2.071396110397218,-77.3092743075321,-77.3092743075321,-77.3092743075321,0.0,0.0,0.0,1139.242407306012
28,2017-11-27,1194.7796581731156,1049.0804617046822,1252.2153860584021,1194.7796581731156,1194.7796581731156,-46.20365803330492,-46.20365803330492,-46.20365803330492,37.24389010817667,37.24389010817667,37.24389010817667,-3.3583886971565473,-3.3583886971565473,-3.3583886971565473,-80.08915944432503,-80.08915944432503,-80.08915944432503,0.0,0.0,0.0,1148.5760001398107
29,2017-11-28,1199.2464816922325,1053.6552733361918,1258.9619079024446,1199.2464816922325,1199.2464816922325,-41.49007917013807,-41.49007917013807,-41.49007917013807,37.24389010817667,37.24389010817667,37.24389010817667,3.0292224745740333,3.0292224745740333,3.0292224745740333,-81.76319175288876,-81.76319175288876,-81.76319175288876,0.0,0.0,0.0,1157.7564025220945
30,2017-11-29,1203.7133052113495,1060.735050013458,1264.472569073652,1203.7133052113495,1203.7133052113495,-40.517146907187325,-40.517146907187325,-40.517146907187325,37.24389010817667,37.24389010817667,37.24389010817667,6.0891356080648595,6.0891356080648595,6.0891356080648595,-83.85017262342886,-83.85017262342886,-83.85017262342886,0.0,0.0,0.0,1163.1961583041623
31,2017-11-30,1208.1801287304665,1066.5686372623131,1267.2390140891337,1208.1801287304665,1208.1801287304665,-43.495740422895715,-43.495740422895715,-43.495740422895715,37.24389010817667,37.24389010817667,37.24389010817667,5.62239986201368,5.62239986201368,5.62239986201368,-86.36203039308607,-86.36203039308607,-86.36203039308607,0.0,0.0,0.0,1164.6843883075708
32,2017-12-01,1212.6469522495836,1062.2317659778232,1258.0566265087205,1212.6469522495836,1212.6469522495836,-54.12986608771094,-54.12986608771094,-54.12986608771094,37.24389010817667,37.24389010817667,37.24389010817667,-2.071396110384098,-2.071396110384098,-2.071396110384098,-89.30236008550351,-89.30236008550351,-89.30236008550351,0.0,0.0,0.0,1158.5170861618726
33,2017-12-04,1226.0474228069345,1057.2359795853617,1255.9404773842555,1226.0474228069343,1226.0474228069343,-66.71595930527222,-66.71595930527222,-66.71595930527222,37.24389010817667,37.24389010817667,37.24389010817667,-3.3583886971501005,-3.3583886971501005,-3.3583886971501005,-100.6014607162988,-100.6014607162988,-100.6014607162988,0.0,0.0,0.0,1159.3314635016623
34,2017-12-05,1230.5142463260515,1067.135861524335,1262.4630287993882,1230.5142463260515,1230.5142463260515,-64.84724027476831,-64.84724027476831,-64.84724027476831,37.24389010817667,37.24389010817667,37.24389010817667,3.029222474579231,3.029222474579231,3.029222474579231,-105.12035285752421,-105.12035285752421,-105.12035285752421,0.0,0.0,0.0,1165.6670060512831
35,2017-12-06,1234.9810698451686,1071.200409032499,1271.611255060033,1234.9810698451686,1234.9810698451686,-66.62534845213416,-66.62534845213416,-66.62534845213416,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608062414,6.089135608062414,6.089135608062414,-109.95837416837324,-109.95837416837324,-109.95837416837324,0.0,0.0,0.0,1168.3557213930344
36,2017-12-07,1239.4478933642854,1064.8963863153483,1259.2647741596668,1239.4478933642854,1239.4478933642854,-72.20375365465249,-72.20375365465249,-72.20375365465249,37.24389010817667,37.24389010817667,37.24389010817667,5.622399862009025,5.622399862009025,5.622399862009025,-115.07004362483819,-115.07004362483819,-115.07004362483819,0.0,0.0,0.0,1167.244139709633
37,2017-12-08,1243.9147168834024,1059.438922624925,1262.8574490193084,1243.9147168834024,1243.9147168834024,-85.23090524719903,-85.23090524719903,-85.23090524719903,37.24389010817667,37.24389010817667,37.24389010817667,-2.0713961103919236,-2.0713961103919236,-2.0713961103919236,-120.40339924498377,-120.40339924498377,-120.40339924498377,0.0,0.0,0.0,1158.6838116362035
38,2017-12-11,1257.3151874407536,1057.455111143417,1255.3440051849807,1257.3151874407536,1257.3151874407536,-103.25113919216686,-103.25113919216686,-103.25113919216686,37.24389010817667,37.24389010817667,37.24389010817667,-3.358388697155705,-3.358388697155705,-3.358388697155705,-137.13664060318786,-137.13664060318786,-137.13664060318786,0.0,0.0,0.0,1154.0640482485867
39,2017-12-12,1261.7820109598704,1062.1703688916714,1254.2543194903726,1261.7820109598704,1261.7820109598704,-102.46866332983261,-102.46866332983261,-102.46866332983261,37.24389010817667,37.24389010817667,37.24389010817667,3.029222474571962,3.029222474571962,3.029222474571962,-142.74177591258126,-142.74177591258126,-142.74177591258126,0.0,0.0,0.0,1159.3133476300377
40,2017-12-13,1266.2488344789876,1059.931570797473,1256.8827684832058,1266.2488344789876,1266.2488344789876,-104.91437473561264,-104.91437473561264,-104.91437473561264,37.24389010817667,37.24389010817667,37.24389010817667,6.0891356080602135,6.0891356080602135,6.0891356080602135,-148.24740045184953,-148.24740045184953,-148.24740045184953,0.0,0.0,0.0,1161.334459743375
41,2017-12-14,1270.7156579981045,1061.3886985732008,1263.3805574689122,1270.7156579981045,1270.7156579981045,-110.7192334925947,-110.7192334925947,-110.7192334925947,37.24389010817667,37.24389010817667,37.24389010817667,5.622399862004369,5.622399862004369,5.622399862004369,-153.58552346277574,-153.58552346277574,-153.58552346277574,0.0,0.0,0.0,1159.9964245055098
42,2017-12-15,1275.1824815172215,1047.7286493259603,1247.7777938837353,1275.1824815172215,1275.1824815172215,-123.51749715388266,-123.51749715388266,-123.51749715388266,37.24389010817667,37.24389010817667,37.24389010817667,-2.0713961103997485,-2.0713961103997485,-2.0713961103997485,-158.6899911516596,-158.6899911516596,-158.6899911516596,0.0,0.0,0.0,1151.6649843633388
43,2017-12-18,1288.5829520745726,1044.106966757149,1249.5370292602156,1288.5829520745724,1288.5829520745724,-138.10943903804124,-138.10943903804124,-138.10943903804124,37.24389010817667,37.24389010817667,37.24389010817667,-3.3583886971543175,-3.3583886971543175,-3.3583886971543175,-171.9949404490636,-171.9949404490636,-171.9949404490636,0.0,0.0,0.0,1150.4735130365314
44,2017-12-19,1293.0497755936894,1052.4417975074177,1258.9814499678826,1293.0497755936894,1293.0497755936894,-135.31199740256704,-135.31199740256704,-135.31199740256704,37.24389010817667,37.24389010817667,37.24389010817667,3.0292224745742136,3.0292224745742136,3.0292224745742136,-175.58510998531796,-175.58510998531796,-175.58510998531796,0.0,0.0,0.0,1157.7377781911223
45,2017-12-20,1297.5165991128065,1059.5051592957757,1264.59693761832,1297.5165991128065,1297.5165991128065,-135.34936126347998,-135.34936126347998,-135.34936126347998,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608061276,6.089135608061276,6.089135608061276,-178.68238697971796,-178.68238697971796,-178.68238697971796,0.0,0.0,0.0,1162.1672378493265
46,2017-12-21,1301.9834226319235,1066.6260393414375,1266.2221991507736,1301.9834226319235,1301.9834226319235,-138.39035786722013,-138.39035786722013,-138.39035786722013,37.24389010817667,37.24389010817667,37.24389010817667,5.622399862002213,5.622399862002213,5.622399862002213,-181.25664783739902,-181.25664783739902,-181.25664783739902,0.0,0.0,0.0,1163.5930647647033
47,2017-12-22,1306.4502461510403,1049.5368486345587,1259.6366749234994,1306.4502461510403,1306.4502461510403,-148.11431050604833,-148.11431050604833,-148.11431050604833,37.24389010817667,37.24389010817667,37.24389010817667,-2.0713961103866283,-2.0713961103866283,-2.0713961103866283,-183.2868045038384,-183.2868045038384,-183.2868045038384,0.0,0.0,0.0,1158.335935644992
48,2017-12-26,1324.3175402275085,1075.1250092755577,1277.317898854712,1324.3175402275085,1324.3175402275085,-145.60437688984058,-145.60437688984058,-145.60437688984058,37.24389010817667,37.24389010817667,37.24389010817667,3.0292224745823586,3.0292224745823586,3.0292224745823586,-185.87748947259962,-185.87748947259962,-185.87748947259962,0.0,0.0,0.0,1178.713163337668
49,2017-12-27,1328.7843637466256,1086.0881542010093,1287.70851344308,1328.7843637466256,1328.7843637466256,-141.87031458803796,-141.87031458803796,-141.87031458803796,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608059075,6.089135608059075,6.089135608059075,-185.20334030427372,-185.20334030427372,-185.20334030427372,0.0,0.0,0.0,1186.9140491585877
50,2017-12-28,1333.2511872657426,1098.7390229642199,1294.9768184556556,1333.2511872657426,1333.2511872657426,-141.18966662762037,-141.18966662762037,-141.18966662762037,37.24389010817667,37.24389010817667,37.24389010817667,5.622399862008811,5.622399862008811,5.622399862008811,-184.05595659780587,-184.05595659780587,-184.05595659780587,0.0,0.0,0.0,1192.0615206381221
51,2017-12-29,1337.7180073588997,1089.3066778836442,1292.8358922522286,1337.7180073588997,1337.7180073588997,-147.30438293135728,-147.30438293135728,-147.30438293135728,37.24389010817667,37.24389010817667,37.24389010817667,-2.0713961103944523,-2.0713961103944523,-2.0713961103944523,-182.47687692913954,-182.47687692913954,-182.47687692913954,0.0,0.0,0.0,1190.4136244275423
52,2018-01-02,1355.5852877315292,1121.6197779135723,1323.6321246904631,1355.5852877315292,1355.5852877315292,-132.6000869329895,-132.6000869329895,-132.6000869329895,37.24389010817667,37.24389010817667,37.24389010817667,3.029222474572143,3.029222474572143,3.029222474572143,-172.87319951573832,-172.87319951573832,-172.87319951573832,0.0,0.0,0.0,1222.9852007985396
53,2018-01-03,1360.0521078246866,1134.7117418404011,1332.176733413711,1360.0521078246866,1360.0521078246866,-126.60687581510892,-126.60687581510892,-126.60687581510892,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608060381,6.089135608060381,6.089135608060381,-169.939901531346,-169.939901531346,-169.939901531346,0.0,0.0,0.0,1233.4452320095777
54,2018-01-04,1364.518927917844,1145.4907709222887,1339.9427559661142,1364.518927917844,1364.518927917844,-124.04829171177948,-124.04829171177948,-124.04829171177948,37.24389010817667,37.24389010817667,37.24389010817667,5.622399862004156,5.622399862004156,5.622399862004156,-166.91458168196033,-166.91458168196033,-166.91458168196033,0.0,0.0,0.0,1240.4706362060645
55,2018-01-05,1368.9857480110013,1142.9442309416042,1345.05687593872,1368.9857480110013,1368.9857480110013,-128.68384068974794,-128.68384068974794,-128.68384068974794,37.24389010817667,37.24389010817667,37.24389010817667,-2.071396110397526,-2.071396110397526,-2.071396110397526,-163.8563346875271,-163.8563346875271,-163.8563346875271,0.0,0.0,0.0,1240.3019073212533
56,2018-01-08,1382.3862082904732,1159.9737059475367,1366.6180798237763,1382.386208290473,1382.386208290473,-121.13750980648574,-121.13750980648574,-121.13750980648574,37.24389010817667,37.24389010817667,37.24389010817667,-3.3583886971571486,-3.3583886971571486,-3.3583886971571486,-155.02301121750529,-155.02301121750529,-155.02301121750529,0.0,0.0,0.0,1261.2486984839875
57,2018-01-09,1386.8530283836303,1170.3071416252349,1371.753086809956,1386.8530283836303,1386.8530283836303,-112.0734465614408,-112.0734465614408,-112.0734465614408,37.24389010817667,37.24389010817667,37.24389010817667,3.029222474574395,3.029222474574395,3.029222474574395,-152.34655914419187,-152.34655914419187,-152.34655914419187,0.0,0.0,0.0,1274.7795818221896
58,2018-01-10,1391.3198484767877,1184.3497106300633,1381.6907220618054,1391.3198484767877,1391.3198484767877,-106.53204691749286,-106.53204691749286,-106.53204691749286,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608061688,6.089135608061688,6.089135608061688,-149.86507263373122,-149.86507263373122,-149.86507263373122,0.0,0.0,0.0,1284.7878015592948
59,2018-01-11,1395.786668569945,1184.5717646359153,1388.2873260650517,1395.786668569945,1395.786668569945,-104.73765033260784,-104.73765033260784,-104.73765033260784,37.24389010817667,37.24389010817667,37.24389010817667,5.6223998619995,5.6223998619995,5.6223998619995,-147.60394030278403,-147.60394030278403,-147.60394030278403,0.0,0.0,0.0,1291.0490182373371
60,2018-01-12,1400.2534886631024,1191.3753696178312,1390.2413923139784,1400.2534886631024,1400.2534886631024,-110.40796433416746,-110.40796433416746,-110.40796433416746,37.24389010817667,37.24389010817667,37.24389010817667,-2.0713961104005976,-2.0713961104005976,-2.0713961104005976,-145.58045833194353,-145.58045833194353,-145.58045833194353,0.0,0.0,0.0,1289.845524328935
61,2018-01-16,1418.1207690357317,1221.1942029563863,1424.1806985543844,1418.1207690357317,1418.1207690357317,-99.65037658475951,-99.65037658475951,-99.65037658475951,37.24389010817667,37.24389010817667,37.24389010817667,3.029222474567126,3.029222474567126,3.029222474567126,-139.9234891675033,-139.9234891675033,-139.9234891675033,0.0,0.0,0.0,1318.4703924509722
62,2018-01-17,1422.587589128889,1231.4185185085075,1431.3950278903912,1422.587589128889,1422.587589128889,-95.73336122771912,-95.73336122771912,-95.73336122771912,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608062994,6.089135608062994,6.089135608062994,-139.06638694395878,-139.06638694395878,-139.06638694395878,0.0,0.0,0.0,1326.85422790117
63,2018-01-18,1427.0544092220464,1236.0962431092398,1428.1350471550022,1427.0544092220464,1427.0544092220464,-95.52155803351073,-95.52155803351073,-95.52155803351073,37.24389010817667,37.24389010817667,37.24389010817667,5.622399862008597,5.622399862008597,5.622399862008597,-138.387848003696,-138.387848003696,-138.387848003696,0.0,0.0,0.0,1331.5328511885357
64,2018-01-19,1431.5212293152038,1230.8829775734105,1429.7847201381135,1431.5212293152038,1431.5212293152038,-102.68400238721847,-102.68400238721847,-102.68400238721847,37.24389010817667,37.24389010817667,37.24389010817667,-2.071396110392231,-2.071396110392231,-2.071396110392231,-137.85649638500294,-137.85649638500294,-137.85649638500294,0.0,0.0,0.0,1328.8372269279853
